Tanggal,qty,Jumlah
2018-06-05,17669,113965050
2018-06-06,17819,114932550
2018-06-07,18357,118402650
2018-06-08,13597,87700650
2018-06-09,17408,112281600
2018-06-10,19611,126490950
2018-06-11,19833,127922850
2018-06-12,21107,136140150
2018-06-13,19714,127155300
2018-06-14,18927,122079150
2018-06-15,13380,86301000
2018-06-16,16222,104631900
2018-06-17,12250,79012500
2018-06-18,16353,105476850
2018-06-19,17454,112578300
2018-06-20,18252,117725400
2018-06-21,16888,108927600
2018-06-22,18551,119653950
2018-06-23,18111,116815950
2018-06-24,18491,119266950
2018-06-25,18064,116512800
2018-06-26,19033,122762850
2018-06-27,17315,111681750
2018-06-28,17580,113391000
2018-06-29,18178,117248100
2018-06-30,18320,118164000
2018-07-01,20124,129799800
2018-07-02,17744,114448800
2018-07-03,14211,91660950
2018-07-04,20007,129045150
2018-07-05,5038,32495100
2018-07-06,18646,120266700
2018-07-07,19553,126116850
2018-07-08,20334,131154300
2018-07-09,20640,133128000
2018-07-10,17396,112204200
2018-07-11,18913,121988850
2018-07-12,17105,110327250
2018-07-13,17644,113803800
2018-07-14,17943,115732350
2018-07-15,18411,118750950
2018-07-16,7582,48903900
2018-07-17,19771,127522950
2018-07-18,18943,122182350
2018-07-19,18755,120969750
2018-07-20,18654,120318300
2018-07-21,19235,124065750
2018-07-22,18638,120215100
2018-07-23,19642,126690900
2018-07-24,19514,125865300
2018-07-25,18364,118447800
2018-07-26,18596,119944200
2018-07-27,17585,113423250
2018-07-28,18372,118499400
2018-07-29,17640,113778000
2018-07-30,12926,83372700
2018-07-31,19691,127005950
2018-08-01,19623,126568350
2018-08-02,18425,118841250
2018-08-03,20064,129412800
2018-08-04,19770,127516500
2018-08-05,17351,111913950
2018-08-06,19700,127065000
2018-08-07,15551,100303950
2018-08-08,18444,118963800
2018-08-09,17876,115300200
2018-08-10,17389,112159050
2018-08-11,18449,118996050
2018-08-12,18218,117506100
